epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,104.165,1.32961,0.85486,0.96855,0.66266,0.44876,0.57196,0.24102,2.05924,1.62063,1.33123,0.0013947,0.0013947,0.0013947
167,104.746,1.26741,0.85682,0.99659,0.66266,0.44876,0.57196,0.24102,2.05924,1.62063,1.33123,0.00139305,0.00139305,0.00139305
168,105.279,1.29792,0.86424,0.97584,0.69025,0.50621,0.57758,0.24228,2.15801,1.48614,1.38391,0.00139139,0.00139139,0.00139139
169,105.82,1.26342,0.83617,0.99726,0.69025,0.50621,0.57758,0.24228,2.15801,1.48614,1.38391,0.00138974,0.00138974,0.00138974
170,106.329,1.20591,0.83855,0.92695,0.69025,0.50621,0.57758,0.24228,2.15801,1.48614,1.38391,0.00138809,0.00138809,0.00138809
171,106.904,1.35119,0.89699,0.98906,0.69025,0.50621,0.57758,0.24228,2.15801,1.48614,1.38391,0.00138644,0.00138644,0.00138644
172,107.425,1.18849,0.79199,0.93611,0.65478,0.57915,0.60127,0.25011,2.16703,1.41369,1.38675,0.00138479,0.00138479,0.00138479
173,107.88,1.26726,0.81998,0.93098,0.65478,0.57915,0.60127,0.25011,2.16703,1.41369,1.38675,0.00138314,0.00138314,0.00138314
174,108.378,1.32602,0.89676,0.9998,0.65478,0.57915,0.60127,0.25011,2.16703,1.41369,1.38675,0.00138149,0.00138149,0.00138149
175,108.952,1.28026,0.87761,0.9868,0.65478,0.57915,0.60127,0.25011,2.16703,1.41369,1.38675,0.00137984,0.00137984,0.00137984
176,109.529,1.24829,0.83605,0.96072,0.67743,0.61809,0.62362,0.25718,2.15413,1.38299,1.40445,0.00137819,0.00137819,0.00137819
177,110.003,1.25669,0.86934,0.97775,0.67743,0.61809,0.62362,0.25718,2.15413,1.38299,1.40445,0.00137654,0.00137654,0.00137654
178,110.57,1.39713,0.96283,1.03401,0.67743,0.61809,0.62362,0.25718,2.15413,1.38299,1.40445,0.00137489,0.00137489,0.00137489
179,111.17,1.28709,0.80539,0.95044,0.67743,0.61809,0.62362,0.25718,2.15413,1.38299,1.40445,0.00137324,0.00137324,0.00137324
180,111.644,1.56568,1.01139,1.01953,0.68602,0.64679,0.64113,0.24754,2.1736,1.45173,1.39325,0.00137159,0.00137159,0.00137159
181,112.263,1.22116,0.8228,0.96379,0.68602,0.64679,0.64113,0.24754,2.1736,1.45173,1.39325,0.00136994,0.00136994,0.00136994
